name,displayName,description,module,path,standalone,canonicalId
"log_event","Log Event","Log an event to PostgreSQL (episodic memory)","core","src/mcp/memory-server.ts","true","memory.log_event"
"search_events","Search Events","Search raw execution traces from PostgreSQL","core","src/mcp/memory-server.ts","true","memory.search_events"
"get_event","Get Event","Get a specific event by ID from PostgreSQL","core","src/mcp/memory-server.ts","true","memory.get_event"
"create_insight","Create Insight","Create a new insight in the Neo4j knowledge graph","core","src/mcp/memory-server.ts","true","memory.create_insight"
"search_insights","Search Insights","Search the knowledge graph (Neo4j) for insights","core","src/mcp/memory-server.ts","true","memory.search_insights"
"create_entity","Create Entity","Create an entity in the Neo4j knowledge graph","core","src/mcp/memory-server.ts","true","memory.create_entity"
"create_relation","Create Relation","Create a relationship between entities in Neo4j","core","src/mcp/memory-server.ts","true","memory.create_relation"
"get_entity","Get Entity","Get an entity by name or ID from Neo4j","core","src/mcp/memory-server.ts","true","memory.get_entity"
"log_decision","Log Decision","Log an Agent Decision Record (ADR) with counterfactuals","core","src/mcp/memory-server.ts","true","memory.log_decision"
"get_decision","Get Decision","Get a decision record by ID from Neo4j","core","src/mcp/memory-server.ts","true","memory.get_decision"
"search_decisions","Search Decisions","Search decision records from Neo4j","core","src/mcp/memory-server.ts","true","memory.search_decisions"
"query_dual_context","Query Dual Context","Query both PostgreSQL (episodic) and Neo4j (semantic) memory together","core","src/mcp/memory-server.ts","true","memory.query_dual_context"
"health_check","Health Check","Check database connections and system health","core","src/mcp/memory-server.ts","true","memory.health_check"
"promote_insight","Promote Insight","Promote a Neo4j insight to Notion for human review (curator agent only)","core","src/mcp/memory-server.ts","true","memory.promote_insight"
"check_duplicate_insight","Check Duplicate Insight","Check if a similar insight already exists before promotion","core","src/mcp/memory-server.ts","true","memory.check_duplicate_insight"
"approve_insight","Approve Insight","Mark a promoted insight as approved (human review)","core","src/mcp/memory-server.ts","true","memory.approve_insight"
"reject_insight","Reject Insight","Mark a promoted insight as rejected (human review)","core","src/mcp/memory-server.ts","true","memory.reject_insight"
"list_promotable_insights","List Promotable Insights","List insights that can be promoted (confidence >= 0.7, status=Proposed)","core","src/mcp/memory-server.ts","true","memory.list_promotable_insights"
"search_knowledge_base","Search Knowledge Base","Search the Notion Master Knowledge Base for approved documentation","core","src/mcp/memory-server.ts","true","memory.search_knowledge_base"
"create_knowledge_item","Create Knowledge Item","Create a new page in the Notion Master Knowledge Base","core","src/mcp/memory-server.ts","true","memory.create_knowledge_item"
"promote_insight_to_notion","Promote Insight To Notion","Promote a high-confidence insight from Neo4j to Notion for human review","core","src/mcp/memory-server.ts","true","memory.promote_insight_to_notion"
"get_agent_context","Get Agent Context","Get agent activation prompts and memories from Notion","core","src/mcp/memory-server.ts","true","memory.get_agent_context"
"list_agent_registry","List Agent Registry","List all registered AI agents from Notion","core","src/mcp/memory-server.ts","true","memory.list_agent_registry"
"sync_drift_report","Sync Drift Report","Check for drift between Notion and Neo4j knowledge","core","src/mcp/memory-server.ts","true","memory.sync_drift_report"
